MOUSEID,SEX,DIET,CHOICE_SESSION,PELLET_TYPE,Hour_1,Hour_2,Hour_3,Hour_4,Hour_5,Hour_6,Hour_7,Hour_8,Hour_9,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Hour_18,Hour_19,Hour_20,Hour_21,Hour_22
FEDXDM1,M,PR,2,CAS20,13,2,12,0,5,0,8,9,5,13,3,11,0,5,11,4,0,0,4,12,6,
FEDXDM2,M,PR,2,CAS20,9,12,3,2,0,1,0,18,10,18,7,8,9,15,7,15,0,8,8,8,0,8
FEDXDM3,M,PR,2,CAS20,9,3,1,3,10,6,0,9,16,10,11,6,9,18,12,2,14,5,10,6,3,
FEDXDM4,M,PR,2,CAS20,9,0,12,2,11,8,5,5,7,9,6,12,6,12,4,10,5,4,10,8,12,
FEDXDM5,M,PR,2,CAS20,7,13,0,12,0,18,0,20,1,15,12,0,12,4,9,7,0,9,16,3,5,
FEDXDM6,M,PR,2,CAS20,12,0,1,3,3,0,9,4,8,8,11,4,10,13,9,5,7,7,5,13,8,2
FEDXDM7,M,PR,2,CAS20,5,14,9,0,12,3,15,4,11,6,19,6,0,8,10,13,0,0,7,9,7,
FEDXDM8,M,PR,2,CAS20,12,11,4,0,8,10,0,13,9,16,13,4,9,10,12,8,0,15,5,1,10,
FEDXDM9,M,PR,2,CAS20,18,13,0,8,12,0,0,9,13,17,17,12,0,12,14,1,11,13,5,10,4,
FEDXDM10,M,PR,2,CAS20,15,11,0,10,0,0,9,0,7,5,13,7,23,0,9,6,5,7,4,7,11,
FEDXDM1,M,PR,2,SUC,4,0,3,0,4,0,2,2,1,8,3,6,0,2,6,3,0,1,3,7,,
FEDXDM2,M,PR,2,SUC,3,2,2,1,0,9,0,0,0,0,0,0,0,1,0,1,0,1,0,,,
FEDXDM3,M,PR,2,SUC,3,1,6,0,1,0,0,0,3,2,2,2,5,1,2,1,0,2,1,1,0,0
FEDXDM4,M,PR,2,SUC,1,0,2,1,0,0,2,0,6,6,2,4,0,5,3,3,1,0,2,4,,
FEDXDM5,M,PR,2,SUC,10,0,0,2,0,0,2,1,0,4,8,2,0,5,0,3,0,0,0,5,1,1
FEDXDM6,M,PR,2,SUC,7,1,2,1,0,0,3,4,2,1,3,5,7,2,5,1,2,1,2,,,
FEDXDM7,M,PR,2,SUC,4,1,0,0,0,0,2,1,3,5,2,7,0,4,7,1,0,0,3,1,2,
FEDXDM8,M,PR,2,SUC,1,2,0,0,3,1,0,5,4,3,3,3,2,0,2,3,0,3,0,0,5,
FEDXDM9,M,PR,2,SUC,1,0,0,0,0,0,0,1,1,2,0,0,0,2,0,0,,,,,,
FEDXDM10,M,PR,2,SUC,4,0,0,2,0,0,2,3,4,7,3,2,3,0,1,4,2,0,5,3,4,
,,,,,10.9,7.9,4.2,4,6.1,4.6,4.6,9.1,8.7,11.7,11.2,7,7.8,9.7,9.7,7.1,4.2,6.8,7.4,7.7,6.6,5
,,,,,3.8,0.7,1.5,0.7,0.8,1,1.3,1.7,2.4,3.8,2.6,3.1,1.7,2.2,2.6,2,0.555555556,0.888888889,1.777777778,3,2.4,0.5
,,,,,,,,,,,,,,,,,,,,,,,,,,
MOUSEID,SEX,DIET,CHOICE_SESSION,PELLET_TYPE,Hour_1,Hour_2,Hour_3,Hour_4,Hour_5,Hour_6,Hour_7,Hour_8,Hour_9,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Hour_18,Hour_19,Hour_20,Hour_21,Hour_22
FEDXDM11,M,NR,2,CAS20,1,10,3,2,0,0,0,6,10,7,3,5,1,5,8,7,6,7,2,0,,
FEDXDM12,M,NR,2,CAS20,6,0,0,7,2,0,6,8,11,2,8,0,10,10,9,5,2,3,11,7,1,
FEDXDM13,M,NR,2,CAS20,1,0,6,0,6,0,6,9,6,10,16,6,1,10,7,16,6,8,11,2,6,
FEDXDM14,M,NR,2,CAS20,15,10,7,0,7,3,8,12,11,15,6,0,16,4,13,1,10,3,4,5,11,
FEDXDM15,M,NR,2,CAS20,4,13,1,0,6,0,1,8,7,14,4,8,2,9,4,15,0,8,15,13,0,
FEDXDM16,M,NR,2,CAS20,8,4,0,5,0,4,7,2,7,9,11,5,0,9,6,8,0,5,0,3,0,
FEDXDM17,M,NR,2,CAS20,7,2,0,8,0,9,0,10,4,6,10,4,3,13,9,5,0,6,5,2,12,
FEDXDM19,M,NR,2,CAS20,8,0,0,6,1,8,5,7,2,8,10,2,7,4,6,6,5,2,9,2,4,
FEDXDM20,M,NR,2,CAS20,2,2,4,0,1,0,1,6,3,4,7,6,0,3,9,0,0,0,9,8,2,
FEDXDM11,M,NR,2,SUC,4,0,0,2,0,5,0,2,6,5,3,9,0,9,1,0,2,2,4,3,2,
FEDXDM12,M,NR,2,SUC,4,0,0,2,1,0,1,2,4,4,4,0,3,4,1,4,0,0,2,1,0,
FEDXDM13,M,NR,2,SUC,2,0,3,0,0,0,0,1,3,5,2,6,1,4,0,4,0,4,0,2,3,
FEDXDM14,M,NR,2,SUC,4,1,0,0,0,2,0,0,0,1,3,0,1,0,1,1,0,0,0,2,,
FEDXDM15,M,NR,2,SUC,0,1,0,3,4,3,6,1,3,4,2,0,0,0,1,0,0,0,,,,
FEDXDM16,M,NR,2,SUC,0,3,0,2,0,1,2,1,4,9,6,3,0,5,5,1,0,2,0,6,0,
FEDXDM17,M,NR,2,SUC,3,1,0,0,0,1,2,0,4,5,4,3,1,2,2,0,0,3,3,1,1,
FEDXDM19,M,NR,2,SUC,6,1,0,1,2,0,3,3,2,7,6,3,3,8,6,2,0,2,4,6,3,
FEDXDM20,M,NR,2,SUC,2,0,1,0,4,0,3,2,3,5,5,7,0,6,4,1,6,0,5,0,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5.777777778,4.555555556,2.333333333,3.111111111,2.555555556,2.666666667,3.777777778,7.555555556,6.777777778,8.333333333,8.333333333,4,4.444444444,7.444444444,7.888888889,7,3.222222222,4.666666667,7.333333333,4.666666667,4.5,
,,,,,2.777777778,0.777777778,0.444444444,1.111111111,1.222222222,1.333333333,1.888888889,1.333333333,3.222222222,5,3.888888889,3.444444444,1,4.222222222,2.333333333,1.444444444,0.888888889,1.444444444,2.25,2.625,1.714285714,
